"Time","Potential","Angle","Velocity","Acceleration"
0.0000,0.422,0.00,0.000,0.00
0.0256,0.417,0.00,0.000,0.00
0.0512,0.344,0.00,0.000,0.00
0.0768,0.480,0.00,0.000,0.00
0.1024,0.290,0.00,0.000,0.00
0.1280,0.501,0.00,0.000,0.00
0.1536,0.274,0.00,0.000,0.00
0.1792,0.525,0.00,0.000,0.00
0.2048,0.269,0.00,0.000,0.00
0.2304,0.543,0.00,0.000,0.00
0.2560,0.266,0.00,0.000,0.00
0.2816,0.510,0.00,0.000,0.00
0.3072,0.314,0.00,0.000,0.00
0.3328,0.438,0.00,0.000,0.00
0.3584,0.407,0.00,0.000,0.00
0.3840,0.383,0.00,0.000,0.00
0.4096,0.477,0.00,0.000,0.00
0.4352,0.326,0.00,0.000,0.00
0.4608,0.516,0.00,0.000,0.00
0.4864,0.284,0.00,0.000,0.00
0.5120,0.519,0.00,0.000,0.00
0.5376,0.247,0.00,0.000,0.00
0.5632,0.522,0.00,0.000,0.00
0.5888,0.274,0.00,0.000,0.00
0.6144,0.519,0.00,0.000,0.00
0.6400,0.299,0.00,0.000,0.00
0.6656,0.486,0.00,0.000,0.00
0.6912,0.386,0.00,0.000,0.00
0.7168,0.395,0.00,0.000,0.00
0.7424,0.422,0.00,0.000,0.00
0.7680,0.314,0.00,0.000,0.00
0.7936,0.489,0.00,0.000,0.00
0.8192,0.293,0.00,0.000,0.00
0.8448,0.531,0.00,0.000,0.00
0.8704,0.271,0.00,0.000,0.00
0.8960,0.537,0.00,0.000,0.00
0.9216,0.266,0.00,0.000,0.00
0.9472,0.531,0.00,0.000,0.00
0.9728,0.269,0.00,0.000,0.00
0.9984,0.498,0.00,0.000,0.00
1.0240,0.329,0.00,0.000,0.00
1.0496,0.426,0.00,0.000,0.00
1.0752,0.426,0.00,0.000,0.00
1.1008,0.362,0.00,0.000,0.00
1.1264,0.486,0.00,0.000,0.00
1.1520,0.314,0.00,0.000,0.00
1.1776,0.528,0.00,0.000,0.00
1.2032,0.266,0.00,0.000,0.00
1.2288,0.531,0.00,0.000,0.00
1.2544,0.274,0.00,0.000,0.00
1.2800,0.546,0.00,0.000,0.00
1.3056,0.284,0.00,0.000,0.00
1.3312,0.519,0.00,0.000,0.00
1.3568,0.323,0.00,0.000,0.00
1.3824,0.453,0.00,0.000,0.00
1.4080,0.410,0.00,0.000,0.00
1.4336,0.383,0.00,0.000,0.00
1.4592,0.483,0.00,0.000,0.00
1.4848,0.335,0.00,0.000,0.00
1.5104,0.522,0.00,0.000,0.00
1.5360,0.296,0.00,0.000,0.00
1.5616,0.531,0.00,0.000,0.00
1.5872,0.281,0.00,0.000,0.00
1.6128,0.522,0.00,0.000,0.00
1.6384,0.269,0.00,0.000,0.00
1.6640,0.519,0.00,0.000,0.00
1.6896,0.278,0.00,0.000,0.00
1.7152,0.489,0.00,0.000,0.00
1.7408,0.374,0.00,0.000,0.00
1.7664,0.426,0.00,0.000,0.00
1.7920,0.453,0.00,0.000,0.00
1.8176,0.338,0.00,0.000,0.00
1.8432,0.483,0.00,0.000,0.00
1.8688,0.296,0.00,0.000,0.00
1.8944,0.534,0.00,0.000,0.00
1.9200,0.287,0.00,0.000,0.00
1.9456,0.534,0.00,0.000,0.00
1.9712,0.250,0.00,0.000,0.00
1.9968,0.534,0.00,0.000,0.00
2.0224,0.299,0.00,0.000,0.00
2.0480,0.519,0.00,0.000,0.00
2.0736,0.332,0.00,0.000,0.00
