"Time","Potential","Angle","Velocity","Acceleration"
0.0000,0.966,0.00,0.000,0.00
0.0064,0.970,0.00,0.000,0.00
0.0128,0.970,0.00,0.000,0.00
0.0192,0.976,0.00,0.000,0.00
0.0256,0.982,0.00,0.000,0.00
0.0320,0.970,0.00,0.000,0.00
0.0384,0.970,0.00,0.000,0.00
0.0448,0.966,0.00,0.000,0.00
0.0512,0.970,0.00,0.000,0.00
0.0576,0.970,0.00,0.000,0.00
0.0640,0.960,0.00,0.000,0.00
0.0704,0.957,0.00,0.000,0.00
0.0768,0.976,0.00,0.000,0.00
0.0832,0.970,0.00,0.000,0.00
0.0896,0.973,0.00,0.000,0.00
0.0960,0.970,0.00,0.000,0.00
0.1024,0.960,0.00,0.000,0.00
0.1088,0.970,0.00,0.000,0.00
0.1152,0.970,0.00,0.000,0.00
0.1216,0.970,0.00,0.000,0.00
0.1280,0.957,0.00,0.000,0.00
0.1344,0.960,0.00,0.000,0.00
0.1408,0.960,0.00,0.000,0.00
0.1472,0.970,0.00,0.000,0.00
0.1536,0.970,0.00,0.000,0.00
0.1600,0.960,0.00,0.000,0.00
0.1664,0.960,0.00,0.000,0.00
0.1728,0.966,0.00,0.000,0.00
0.1792,0.978,0.00,0.000,0.00
0.1856,0.966,0.00,0.000,0.00
0.1920,0.978,0.00,0.000,0.00
0.1984,0.963,0.00,0.000,0.00
0.2048,0.963,0.00,0.000,0.00
0.2112,0.970,0.00,0.000,0.00
0.2176,0.957,0.00,0.000,0.00
0.2240,0.966,0.00,0.000,0.00
0.2304,0.960,0.00,0.000,0.00
0.2368,0.963,0.00,0.000,0.00
0.2432,0.976,0.00,0.000,0.00
0.2496,0.957,0.00,0.000,0.00
0.2560,0.970,0.00,0.000,0.00
0.2624,0.970,0.00,0.000,0.00
0.2688,0.960,0.00,0.000,0.00
0.2752,0.976,0.00,0.000,0.00
0.2816,0.970,0.00,0.000,0.00
0.2880,0.970,0.00,0.000,0.00
0.2944,0.973,0.00,0.000,0.00
0.3008,0.978,0.00,0.000,0.00
0.3072,0.970,0.00,0.000,0.00
0.3136,0.963,0.00,0.000,0.00
0.3200,0.957,0.00,0.000,0.00
0.3264,0.973,0.00,0.000,0.00
0.3328,0.970,0.00,0.000,0.00
0.3392,0.966,0.00,0.000,0.00
0.3456,0.966,0.00,0.000,0.00
0.3520,0.960,0.00,0.000,0.00
0.3584,0.970,0.00,0.000,0.00
0.3648,0.970,0.00,0.000,0.00
0.3712,0.966,0.00,0.000,0.00
0.3776,0.966,0.00,0.000,0.00
