"Time","Potential","Angle","Velocity","Acceleration"
0.0000,1.592,0.00,0.000,0.00
0.0064,1.595,0.00,0.000,0.00
0.0128,1.595,0.00,0.000,0.00
0.0192,1.595,0.00,0.000,0.00
0.0256,1.586,0.00,0.000,0.00
0.0320,1.589,0.00,0.000,0.00
0.0384,1.595,0.00,0.000,0.00
0.0448,1.595,0.00,0.000,0.00
0.0512,1.589,0.00,0.000,0.00
0.0576,1.595,0.00,0.000,0.00
0.0640,1.595,0.00,0.000,0.00
0.0704,1.595,0.00,0.000,0.00
0.0768,1.589,0.00,0.000,0.00
0.0832,1.595,0.00,0.000,0.00
0.0896,1.595,0.00,0.000,0.00
0.0960,1.595,0.00,0.000,0.00
0.1024,1.595,0.00,0.000,0.00
0.1088,1.589,0.00,0.000,0.00
0.1152,1.595,0.00,0.000,0.00
0.1216,1.595,0.00,0.000,0.00
0.1280,1.595,0.00,0.000,0.00
0.1344,1.586,0.00,0.000,0.00
0.1408,1.595,0.00,0.000,0.00
0.1472,1.592,0.00,0.000,0.00
0.1536,1.595,0.00,0.000,0.00
0.1600,1.589,0.00,0.000,0.00
0.1664,1.595,0.00,0.000,0.00
0.1728,1.595,0.00,0.000,0.00
0.1792,1.595,0.00,0.000,0.00
0.1856,1.595,0.00,0.000,0.00
0.1920,1.586,0.00,0.000,0.00
0.1984,1.592,0.00,0.000,0.00
0.2048,1.595,0.00,0.000,0.00
0.2112,1.598,0.00,0.000,0.00
0.2176,1.586,0.00,0.000,0.00
0.2240,1.598,0.00,0.000,0.00
0.2304,1.595,0.00,0.000,0.00
0.2368,1.595,0.00,0.000,0.00
0.2432,1.589,0.00,0.000,0.00
0.2496,1.595,0.00,0.000,0.00
0.2560,1.595,0.00,0.000,0.00
0.2624,1.595,0.00,0.000,0.00
0.2688,1.595,0.00,0.000,0.00
0.2752,1.589,0.00,0.000,0.00
0.2816,1.592,0.00,0.000,0.00
0.2880,1.595,0.00,0.000,0.00
0.2944,1.595,0.00,0.000,0.00
0.3008,1.583,0.00,0.000,0.00
0.3072,1.595,0.00,0.000,0.00
0.3136,1.595,0.00,0.000,0.00
0.3200,1.595,0.00,0.000,0.00
0.3264,1.589,0.00,0.000,0.00
0.3328,1.595,0.00,0.000,0.00
